"","MCC_score"
"CACNA1B",6.13371081517793
"TBC1D31",6.13175161980926
"CDCA8",6.13116563154207
"NPTXR",6.12842890740072
"TCF19",6.12737416929293
"TMEM132A",6.12736155423134
"FSD1L",6.12475763482126
"FBLL1",6.12414618224818
"NOL4",6.12318711676127
"TOP3A",6.12295528944933
"SMC4",6.12256459120548
"SYT4",6.12233391906648
"E2F1",6.12212763424046
"QSOX2",6.12182705244341
"RABL6",6.12144320293593
"KCNN2",6.119920005751
"ORAI2",6.1189130386786
"ROGDI",6.11890260133551
"AP3B2",6.11881130810915
"PAQR4",6.1182211445788
"UNC5A",6.11707318024077
"SALL2",6.11700150314422
"ELAVL3",6.11671493291431
"TMEM198",6.11647705512372
"FAM155B",6.11576925437004
"POLD3",6.11524958294482
"PHC2",6.11486052676952
"NARF",6.11111980992609
"PLEKHG4B",6.11096975078474
"ASTN2",6.11037150770913
"OTUD3",6.10626967845914
"XPO6",6.10549470803302
"RTTN",6.10449312403989
"MYBL1",6.0994728338973
"OIP5",6.09930098349075
"CACNB3",6.09874650272859
"DONSON",6.09793095150912
"ILDR2",6.09780540918835
"ACVR2B",6.09469263158798
"ODC1",6.09379079079565
"CCNA2",6.09368164395537
"NEIL3",6.09253733752161
"NLK",6.09240527571674
"PCP4",6.09210782206168
"PTTG1",6.09171161188875
"CSNK1G2",6.09130294490413
"DPP10",6.08999698222465
"POLE2",6.08916550207845
"ANK1",6.08708123820084
"TBCB",6.08626594455671
"GJC1",6.08337675424623
"ARNT2",6.08296274008266
"CAMK2N2",6.08277480526034
"SULT4A1",6.08174955465213
"SNRPE",6.08094095004862
"TOR2A",6.08073343662024
"RAD51C",6.07931468702104
"FAM222A",6.07902913587513
"RFPL1S",6.07839292118162
"FLJ42351",6.07561747780517
"FLJ37453",6.07468426321539
"WASF1",6.07434759296074
"SCN8A",6.07057353825986
"UCP2",6.07034192012938
"TMPO",6.06937228758077
"PSMC3IP",6.06916824131754
"CHST8",6.06763297975033
"DHFR",6.06694022513974
"CASKIN1",6.06686926939098
"RAD54B",6.06653063181649
"HMMR",6.06496997535091
"SLC25A19",6.06262679271312
"TMEM120B",6.06227304372212
"CLSPN",6.06177446736867
"CDKN2C",6.06151531183534
"KIF26A",6.06118308405553
"NCAPH",6.06084995434575
"TCERG1L",6.06059200233285
"RAB3IP",6.06007640497203
"LMNB2",6.05907142302736
"TENM4",6.05657298784872
"MEX3A",6.05629702652759
"SMKR1",6.05597672039747
"TRIM37",6.05535138746203
"CADPS",6.05419484619148
"TACC3",6.05322413085922
"TANC2",6.05311133610252
"CHD2",6.05283922252651
"UNC79",6.05161779290376
"TPBGL",6.05136536928815
"PCNA",6.04999547159163
"KPTN",6.04982810889693
"FANCL",6.04767189421023
"EIF5B",6.04611401886919
"FBXL16",6.04581110251649
"NCAM1",6.04541628616983
"CARHSP1",6.04483125518082
"ATP6V0E2",6.04476108023897
"FANCC",6.04459355992318
"SOX11",6.04353264659504
"CEP85",6.04278282193959
"NEURL1",6.04147445272055
"URB2",6.03728550581361
"PSRC1",6.03673161407686
"CACNA1D",6.03565587209784
"PRKCA",6.03514437783858
"METTL4",6.03214053154346
"MAP1S",6.03122931171511
"ZNF324",6.03028603522695
"CHAF1A",6.02960355243519
"KIF18A",6.02898974036464
"PLEKHG4",6.02839039877752
"EIF4EBP1",6.02805078835967
"KIF2C",6.02741129009689
"GABRB3",6.02665049618379
"SATB1",6.02497588357382
"CSRNP3",6.02279808312814
"FCHSD2",6.02049091304481
"SNRNP25",6.01968084020989
"EZH2",6.01967412115699
"ASPM",6.01934865441184
"PAX6",6.01882497824185
"MCM5",6.01717994065008
"RBM38",6.01669156701977
"CCDC15",6.01668765936882
"RMI2",6.01657566828827
"KSR2",6.01652407889705
"SUGP2",6.01585078775818
"CENPK",6.01565166734909
"CEP78",6.01562867085354
"NINL",6.01499238421558
"CCDC88C",6.01496144148778
"TRO",6.01405940329094
"BAHCC1",6.01263588133445
"CENPX",6.01202647301895
"GNAO1",6.01170717897894
"RAB36",6.01157681253226
"CDC20",6.01030128370029
"WDHD1",6.01013656471527
"DLX4",6.00971980130082
"TXNRD1",6.0073015124677
"CKAP2L",6.00720821327438
"PARD6A",6.00643277000546
"WDR34",6.00602824757525
"NT5DC3",6.0051104918682
"PRR36",6.00436638522056
"ZNF711",6.00329092710986
"MYL6B",6.00254995613968
"SPC25",6.00202675371241
"B4GALT6",6.00058674148144
"HDAC9",6.00039222283046
"C9orf40",5.99979681723005
"NREP",5.99904623262064
"CABP7",5.99890839610359
"ZNF605",5.99790556045288
"TTC28-AS1",5.99716443348548
"PGM2L1",5.99623192762951
"ZNF48",5.99610455239156
"ASH1L-AS1",5.99581549022782
"TMEM136",5.99503983693002
"TMEM151B",5.99378799822016
"ZDBF2",5.99361631192258
"TPX2",5.99301882311799
"EPB41",5.99048699783412
"NCAPH2",5.98917622743777
"LOXL3",5.98912060878889
"ZNF550",5.98898336211122
"CDC25B",5.98864767402082
"GOLGA2P5",5.98825857034288
"CBFA2T3",5.98687128125693
"CEP55",5.9856824834418
"METTL21A",5.98174549379694
"KCNJ4",5.98106389144376
"ZNF569",5.98083734157695
"KIAA0895L",5.97996764300326
"SLC17A6",5.97994945498912
"CDK19",5.97960421168693
"SDC3",5.97936975046084
"XPOT",5.97886448768778
"TTK",5.97866369197175
"GRIN2D",5.97841297176627
"HAUS5",5.97682922281187
"SLC35D3",5.97658850614786
"CALN1",5.97658632631128
"PSMG3",5.97655333845911
"FAM78B",5.97621277702538
"TOX",5.97612178653462
"FAM216A",5.97588008353889
"PEX5L",5.97544043046303
"ZSCAN16-AS1",5.97469033130834
"GPSM1",5.97444725034334
"SLIRP",5.97373920383312
"YEATS2",5.97314997247448
"DTX3",5.97304129758837
"COQ10A",5.9716841659617
"ZNF519",5.97150751703733
"RCOR2",5.97148652681806
"WDR76",5.9704408096349
"ALDH3A1",-5.84778476147486
"DCN",-5.85138135797633
"TPSB2",-5.85204325873845
"ZBTB7C",-5.85480686567183
"CEBPA",-5.85641712435892
"TMEM79",-5.85730207158471
"RAB3D",-5.8583402862169
"ACKR4",-5.85916122948759
"CDC14B",-5.8593504642352
"PPTC7",-5.86045590387364
"LYPD3",-5.86061766446334
"EPHB3",-5.86104461487084
"LIPH",-5.86203331942678
"ACADL",-5.86250893887802
"CROT",-5.86275891958551
"MALAT1",-5.86306870806517
"ALDH2",-5.86314218362879
"MAP3K2",-5.86370743996177
"SPRY1",-5.86377587571164
"APOD",-5.86434728158271
"WDR1",-5.86612404973954
"TWF1",-5.86639027237292
"OMD",-5.86707207026435
"FGFR2",-5.86736009693545
"DSG3",-5.86928719683964
"CHP1",-5.87070839933561
"ADGRG6",-5.87140785738915
"LPAR5",-5.8731006917248
"THRSP",-5.87373619464978
"LYVE1",-5.87387923451689
"ARFIP1",-5.87479705554848
"CNTN1",-5.87497005250769
"F10",-5.87500016092625
"NR3C1",-5.8751388859602
"ADTRP",-5.87538343365569
"MASP1",-5.87651328749291
"FCF1",-5.87695027530484
"ITGB5",-5.87710516858267
"EGLN3",-5.87812595824835
"SDR9C7",-5.87896384504805
"LGALSL",-5.87909617400325
"ANXA2P2",-5.87923607702565
"PTPN12",-5.88142323811496
"ANXA3",-5.88250150523742
"CLDN23",-5.88273876166812
"MFAP5",-5.88378320657188
"GAS7",-5.88531176883628
"SRPRA",-5.88536723696247
"CAPN3",-5.88538881970055
"FNDC3A",-5.88643485441296
"CD82",-5.88649352842784
"TNS4",-5.88660180642947
"SCYL2",-5.88676343891329
"CTTNBP2NL",-5.8877499637025
"MIR100HG",-5.88786367273562
"EHF",-5.88831083980487
"FGFBP1",-5.8886018880142
"TRAM1",-5.88860622300761
"PRRX2",-5.88865488991371
"SVEP1",-5.89043136136445
"ARHGEF37",-5.89065382956442
"KLK5",-5.89087820486645
"TMEM45B",-5.8910454714648
"DGKA",-5.89110314150912
"OSR1",-5.89326437752498
"RNF227",-5.89414258030154
"DDR2",-5.89458210908917
"PPP1R14C",-5.89645857388499
"DES",-5.89697062887302
"GDPD2",-5.89936262385807
"CLCA2",-5.89943988640577
"TRPS1",-5.89974694578968
"AHNAK",-5.90004798975048
"RETSAT",-5.90061826584394
"FAT2",-5.90139601378499
"TLR3",-5.9022867120934
"RNH1",-5.90385594783823
"TNFRSF19",-5.90462932041496
"PLEKHG1",-5.90735109256053
"FAM107A",-5.90865214201838
"REST",-5.91069526741324
"SLIT3",-5.91148900000193
"MFN2",-5.91266695862298
"SYPL1",-5.91280187285326
"EFEMP1",-5.91478077228323
"MGST2",-5.91568024563734
"PCDH7",-5.91708591088381
"LPAR6",-5.91853047364617
"TMEM30A",-5.9201579068908
"NECTIN4",-5.92031970978267
"LAD1",-5.92040942712696
"LINC00520",-5.92131302596534
"PICALM",-5.92369466626089
"SELENOP",-5.92375676785904
"ACTG2",-5.92532617281177
"JAK1",-5.9256418927253
"STYX",-5.92573411241227
"FRMD4B",-5.92595451847669
"DNMBP",-5.92642597159536
"DNAJB4",-5.92647223819268
"NOTCH2NLA",-5.92655499718878
"HPGD",-5.9268204411906
"PON2",-5.92747374206905
"LYPD5",-5.92793989361396
"CAB39L",-5.92970347118709
"SPTLC3",-5.92998449213219
"SOD3",-5.93058229955356
