"","degree","eigenvector","betweenness","closeness",""
"ZNF714","200","0.998016684885472","384.465398314305","0.000701754385964912","Module_2"
"HMGB2","181","0.899449702843175","821.4335357361","0.000716332378223496","Module_2"
"PAICS","200","0.944045404722837","3382.058686048","0.000693000693000693","Module_2"
"CBX1","188","0.915961062631958","749.450181695091","0.000687285223367698","Module_2"
"MELK","194","0.977351955612765","192.36742309789","0.000686341798215511","Module_2"
"DDIAS","198","0.993005265829737","237.884170038817","0.000689179875947622","Module_2"
"NDC80","185","0.930546128058854","262.306988206787","0.000685871056241427","Module_2"
"SMC2","200","0.992976196761939","598.82034766834","0.000701754385964912","Module_2"
"FANCI","193","0.967269857216061","322.84413532298","0.000697350069735007","Module_2"
"CSE1L","200","1","286.00468830617","0.000690131124913734","Module_2"
"RAD51AP1","194","0.977351955612767","192.36742309789","0.000686341798215511","Module_2"
"NUP107","197","0.989193709331535","225.827610063196","0.00068870523415978","Module_2"
"RFC5","199","0.994451617477465","348.813494336848","0.000701262272089762","Module_2"
"SPC25","184","0.900943595231","629.636774502301","0.000685400959561343","Module_2"
"CCNB2","180","0.863402983772169","1896.22017530767","0.000713775874375446","Module_2"
"UBE2T","180","0.899254240472395","588.815275767928","0.000715819613457409","Module_2"
"CEP55","193","0.94399797441142","727.437470643747","0.000689655172413793","Module_2"
"PBK","195","0.95112698877132","842.683645442685","0.00069060773480663","Module_2"
"RFC3","197","0.989193709331534","225.827610063196","0.00068870523415978","Module_2"
"SINHCAF","200","0.998016684885472","384.465398314305","0.000701754385964912","Module_2"
"POLR3G","204","0.981893048872199","1392.16255906717","0.000702740688685875","Module_2"
"PAICSP4","194","0.933347706316343","1209.10873444844","0.000690131124913734","Module_2"
"MTHFD2","199","0.994451617477465","348.813494336848","0.000701262272089762","Module_2"
"DHX9","201","0.969339852140398","1267.84631523751","0.000701262272089762","Module_2"
"PHACTR4","194","0.974641797309108","259.928453660997","0.000697836706210747","Module_2"
"MTF2","198","0.993005265829736","237.884170038817","0.000689179875947622","Module_2"
"NUP153","190","0.975543697834866","669.929342866385","0.000733675715333822","Module_3"
"NUP155","189","0.974811420101274","454.541201012582","0.000717875089734386","Module_3"
"PPAT","180","0.930450728780534","399.261253871561","0.000728332119446468","Module_3"
"BRCA2","190","0.976868478530232","368.238987418701","0.000715307582260372","Module_3"
"HS2ST1","182","0.908999091069291","794.382625355837","0.000747384155455904","Module_3"
"NAA50","179","0.909697194679757","543.052248912007","0.000728332119446468","Module_3"
"ATAD5","180","0.946059094186207","244.455021607545","0.000713266761768902","Module_3"
"MMS22L","181","0.945040712182141","413.335703131466","0.000728862973760933","Module_3"
"SMCHD1","184","0.927144086221573","846.671333443893","0.00075187969924812","Module_3"
"NUP50","181","0.922637519904844","644.509163933011","0.000749625187406297","Module_3"
"XPOT","177","0.906095762391513","538.958104301306","0.00073909830007391","Module_3"
"SLC16A1","185","0.961155237614663","333.899065767949","0.000715819613457409","Module_3"
"UTP20","172","0.910410419641091","228.588954399818","0.000724112961622013","Module_3"
"SEH1L","178","0.937235018370942","228.29185379343","0.000712250712250712","Module_3"
"QSER1","188","0.912783212104761","1544.8281883998","0.0007627765064836","Module_3"
"ABCE1","178","0.907572137997727","522.604751096086","0.000735835172921266","Module_3"
"NOC3L","180","0.918643894534684","613.258075144809","0.000749063670411985","Module_3"
"ELOVL5","175","0.927406676390528","230.160449531749","0.000725689404934688","Module_3"
"SASS6","176","0.931945438434193","196.53383539738","0.000711237553342817","Module_3"
"NPAT","181","0.909298756191238","813.907806145011","0.000752445447705041","Module_3"
"ZNF850","191","0.978292897464418","423.316409825408","0.000715307582260372","Module_3"
"IPO7","182","0.902709510442934","907.546638176808","0.000758725341426404","Module_3"
"PDS5B","178","0.911733765146","385.229388955571","0.000725163161711385","Module_3"
"NUP58","186","0.91510163821593","1378.86570202308","0.000755857898715042","Module_3"
"DNA2","185","0.962562562916084","229.989749233187","0.000712758374910905","Module_3"
"ATAD2","179","0.941369239187935","312.69274429455","0.000727802037845706","Module_3"
"CHD1","178","0.904202772076566","631.739140038325","0.000745156482861401","Module_3"
"AHCTF1","179","0.913881599705942","596.84653939831","0.00074019245003701","Module_3"
"HAUS6P1","175","0.899991994836841","333.12241314487","0.000715819613457409","Module_3"
"USP1","176","0.903806532100062","517.335335488934","0.000738552437223043","Module_3"
"SCML2","178","0.939678301808475","217.257123040048","0.000712250712250712","Module_3"
"NUDT21","176","0.89424947465318","668.770140556384","0.000744047619047619","Module_3"
"KLHL23","180","0.946428955841496","177.573115039054","0.000710227272727273","Module_3"
"ZNF678","175","0.915408213229042","541.699580551757","0.000720980533525595","Module_3"
"PLOD2","175","0.902997488594101","499.29078505313","0.000734214390602056","Module_3"
"LRRC8B","171","0.91039809719578","155.34206296231","0.00070871722182849","Module_3"
"ENC1","178","0.93833202109551","215.902054743902","0.000712250712250712","Module_3"
"FMR1","171","0.892445641967625","380.245317424761","0.000732064421669107","Module_3"
"MSH2","171","0.911415470711427","168.539179866979","0.00070871722182849","Module_3"
"XPO4","181","0.895724864567148","1018.64907908592","0.000752445447705041","Module_3"
"OSBPL8","83","0.235522510242883","2126.50207476915","0.000754716981132075","Module_4"
"RLIM","83","0.262121694043219","499.503819545839","0.000739644970414201","Module_4"
"RO60","122","0.483959632517157","1037.37126447964","0.000750187546886722","Module_4"
"CAMSAP2","112","0.420134869061064","1664.6777198987","0.000769822940723634","Module_4"
"ZFYVE16","107","0.375669883761494","1376.41376640435","0.00075642965204236","Module_4"
"DNAJB14","103","0.366545022659688","1056.89982962402","0.00075187969924812","Module_4"
"LTN1","108","0.407287994513686","1212.85061400082","0.000766871165644172","Module_4"
"ITCH","103","0.362459348802453","1057.97406656095","0.00075187969924812","Module_4"
"CACNA2D1","100","0.348665926964691","961.62328173618","0.000749625187406297","Module_4"
"NHLRC2","63","0.158918068504533","624.183150948892","0.000743494423791822","Module_4"
"UBR3","65","0.109570232158698","2523.83732254612","0.000745712155108128","Module_4"
"ZBTB41","102","0.372757305618629","847.123535338848","0.000749625187406297","Module_4"
"TAF2","105","0.384170374091247","1118.80824544303","0.000755857898715042","Module_4"
"ZNF451","105","0.396561259144504","302.16821101269","0.000730460189919649","Module_4"
"ERBIN","70","0.195763643398328","268.805366473081","0.000729394602479942","Module_4"
"SEL1L","67","0.109897502130251","1361.30998664602","0.000746268656716418","Module_4"
"ATP11B","126","0.514072199869386","1510.50575539082","0.000757002271006813","Module_4"
"SOCS4","107","0.397343623856143","430.249047625136","0.000732600732600733","Module_4"
"NEDD4","81","0.234871860568186","1989.46142239203","0.00075187969924812","Module_4"
"EXOC5","125","0.512985507293088","590.180028454853","0.00074019245003701","Module_4"
"ZNF800","83","0.262121694043219","499.503819545839","0.000739644970414201","Module_4"
"TMF1","63","0.1138449397699","525.311997936336","0.000725689404934688","Module_4"
