"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHRNA3",4.5810552297625,6.39995493805319,26.7981035830086,4.99362715692101e-46,6.33876584327904e-44,94.546005525635
"SP1",-2.26043819443959,6.33342321337234,-26.7631455243332,5.57129209251699e-46,7.0278367689544e-44,94.4366062426968
"LINC00302",-4.33036852133125,7.6133046692234,-26.6304799594621,8.44898351425451e-46,1.05916667247328e-43,94.0204163995496
"SPTLC1",-2.13104750265104,7.89061793608511,-26.6226950159554,8.65841285770538e-46,1.0787206586856e-43,93.9959436729939
"GTF2I",-1.97134619408437,6.18210557181915,-26.6083324452871,9.05864150394573e-46,1.1216598863444e-43,93.9507788671909
"ATP6V0E1",3.06971376165833,7.92809848475532,26.5870116903685,9.68747027886831e-46,1.19220861364877e-43,93.8836981191845
"CANX",-2.48121862251041,9.03041327906383,-26.5688671038467,1.02572208656326e-45,1.25467568927917e-43,93.826577368448
"MARCKSL1",2.62997257433958,9.88798977285106,26.5228093976444,1.18601101029985e-45,1.44200362776397e-43,93.681446928223
"SYT13",5.76179414746042,6.792112732,26.3864120476296,1.82526965461558e-45,2.20595314006625e-43,93.2504968642424
"PPP2R3A",-3.08882012326458,7.62954572667021,-26.3273640204078,2.2009692206673e-45,2.64417629647191e-43,93.0633962464059
"CAV2",-3.99543498838751,9.53180692360638,-26.1415505170838,3.97482897922273e-45,4.74698066790842e-43,92.4724941026911
"AKR1C2",-3.83192569766251,9.28378096317021,-26.1202467579336,4.25440153268428e-45,5.05097565495099e-43,92.4045389938041
"ENDOU",-3.26166644688229,7.28927758885106,-26.0803562676258,4.83239900414679e-45,5.70364380705816e-43,92.2771804272651
"IL18",-4.09030147725313,8.02977538037234,-26.0707824642882,4.98253418417739e-45,5.84665624646815e-43,92.2465917308131
"FAM155B",1.7662048548,5.52312964646809,26.0673820141836,5.03698512957943e-45,5.8763855994394e-43,92.235725067084
"DGKD",1.45308495236562,8.00425779894681,26.0651154815314,5.0736119374867e-45,5.88509826059161e-43,92.2284814045022
"SERPINB2",-5.00421312714583,8.11485026991489,-26.0270764110256,5.73003166613061e-45,6.60852737814366e-43,92.1068389490373
"TPRG1",-4.13495343617188,7.73003788140426,-25.9808853727894,6.64353630593209e-45,7.61855075355837e-43,91.9589435827664
"NRSN1",3.10353554449271,5.29222299453192,25.9576427370737,7.15744067357769e-45,8.16150424377505e-43,91.8844482856513
"CCNE2",4.34579263109896,6.77194541876596,25.8932946412998,8.79949419353897e-45,9.97753883753915e-43,91.6779373338289
